Nombre,ID Diputado,Partido,Distrito,Correo,Twitter,Instagram,Facebook,TikTok,YouTube,Enfoque Digital,Palabra Clave
Vlado Mirosevic Verdugo,1101,PL,1,vlado.mirosevic@congreso.cl,@vladomirosevic,vladomirosevic,,,,Twitter/Instagram,liberalismo
Luis Malla Valenzuela,1102,PL,1,luis.malla@congreso.cl,,,,,TikTok,TikTok/Instagram,juventud
Enrique Lee Flores,1103,Ind-PSC,1,enrique.lee@congreso.cl,,,enriquelee.diputado,,,Facebook/Twitter,salud seguridad
Renzo Trisotti Martínez,1104,Rep,2,renzo.trisotti@congreso.cl,@renzotrisotti,,,,Live,Twitter/Facebook,seguridad migración
Matías Ramírez Pascal,1105,PC,2,matias.ramirez@congreso.cl,@matiasramirez_,matiasramirezpascal,,,,Twitter/Instagram,DDHH sindicatos
Danisa Astudillo Peiretti,1106,PS,2,danisa.astudillo@congreso.cl,,danisaastudillo,danisaastudillo.d,,,Instagram/Facebook,ayudas vivienda
Catalina Pérez Salinas,1107,FA,3,catalina.perez@congreso.cl,@cikimedejate,cataperez.salinas,,,,Twitter bajo perfil,convenios
Sebastián Videla Castillo,1108,Ind-PL,3,sebastian.videla@congreso.cl,,sebastianvidela,videlasebastian,,,Facebook/Instagram,animalista
Jaime Araya Guerrero,1109,Ind-PPD,3,jaime.araya@congreso.cl,@jaimearayag,,,,,Twitter/TV,seguridad
Yovana Ahumada Palma,1110,PSC,3,yovana.ahumada@congreso.cl,,,yovanaahumada,,,Facebook Live,La Neta
José Miguel Castro Bascuñán,1111,RN,3,josemiguel.castro@congreso.cl,@josemiguelcastro,josemiguelcastrob,,,,Instagram/Twitter,medioambiente
Daniella Cicardini Milla,1112,PS,4,daniella.cicardini@congreso.cl,,daniellacicardini,,,TikTok,Instagram/TikTok,millennial
Juan Santana Castillo,1113,PS,4,juan.santana@congreso.cl,@juansantanac,juansantanacastillo,,,,Twitter/Facebook,educación
Cristian Tapia Ramos,1114,Ind-PPD,4,cristian.tapia@congreso.cl,,,cristiantapad,,,Facebook,municipalismo
Jaime Mulet Martínez,1115,FRVS,4,jaime.mulet@congreso.cl,@jaimemulet,,,,,Twitter,regionalismo royalty
Sofía Cid Versalovic,1116,Rep,4,sofia.cid@congreso.cl,@sofiacidv,sofiacidv,,,,Instagram/Twitter,pymes economía
Marco Sulantay Olivares,1117,UDI,5,marco.sulantay@congreso.cl,,marcosulanaty,,,Facebook,Instagram/Facebook,deportes
Juan Manuel Fuenzalida,1118,UDI,5,juan.fuenzalida@congreso.cl,@jmfuenzalidaf,,,,YouTube,Twitter/YouTube,seguridad
Nathalie Castillo Rojas,1119,PC,5,nathalie.castillo@congreso.cl,@nathaliecastillor,nathaliecastillorojas,,,,Twitter/Instagram,feminismo DDHH
Carolina Tello Rojas,1120,FA,5,carolina.tello@congreso.cl,,carolinatellorojas,,,TikTok,Instagram/TikTok,pensión alimentos
Daniel Manouchehri,1121,PS,5,daniel.manouchehri@congreso.cl,@dmanouchehri,,,,,Twitter/TV,corrupción Hermosilla
Ricardo Cifuentes Lillo,1122,PDC,5,ricardo.cifuentes@congreso.cl,@ricardocifuentes,,,,,Twitter/Facebook,descentralización
Víctor Pino Fuentes,1123,Dem,5,victor.pino@congreso.cl,,,victropino,,YouTube,YouTube/Facebook,agua hídrico
Diego Ibáñez Cotroneo,1124,FA,6,diego.ibanez@congreso.cl,@diego_ibanezc,diegoibanezc,,,,Twitter/Instagram,medioambiente Petorca
María Francisca Bello,1125,FA,6,francisca.bello@congreso.cl,@franbellosj,franciscabello.d,,,,Instagram/Twitter,salud mental género
Carolina Marzán Pinto,1126,Ind-PPD,6,carolina.marzan@congreso.cl,,carolinamarzan,carolinamarzan.d,,,Facebook/Instagram,cultura La Paolita
Nelson Venegas Salazar,1127,PS,6,nelson.venegas@congreso.cl,@nelsonvenegass,nelsonvenegass,,,,Facebook/Twitter,agua rockero
Andrés Longton Herrera,1128,RN,6,andres.longton@congreso.cl,,andreslongtonh,andreslongton,,,Instagram/Facebook,seguridad
Camila Flores Oporto,1129,RN,6,camila.flores@congreso.cl,@cikiflores,camilafloresd,,,,Twitter/Instagram,anticomunismo
Chiara Barchiesi Chávez,1130,Rep,6,chiara.barchiesi@congreso.cl,,chiarabarchiesi,,,TikTok,TikTok/Instagram,provida juventud
Gaspar Rivas Sánchez,1131,Ind-PDC,6,gaspar.rivas@congreso.cl,@gasparrivass,gasparisvass,,YouTube,,YouTube/Twitter,El Sheriff
Tomás Lagomarsino,1132,PR,7,tomas.lagomarsino@congreso.cl,,tomaslagomarsino,,,,Instagram/Twitter,salud médico
Arturo Barrios Oteíza,1185,PS,7,arturo.barrios@congreso.cl,@arturobarrioso,arturobarrios.d,,,,Facebook/Twitter,territorio
Camila Rojas Valderrama,1134,FA,7,camila.rojas@congreso.cl,@milojasvalde,camilarojasv,,,,Instagram/Twitter,CAE educación
Jorge Brito Hasbún,1135,FA,7,jorge.brito@congreso.cl,@britojorge,jorgebritoh,,,,Twitter/Instagram,pesca corrupción
Luis Cuello Peña y Lillo,1136,PC,7,luis.cuello@congreso.cl,,,luiscuellod,,TikTok,TikTok/Facebook,transporte micro
Andrés Celis Montt,1137,RN,7,andres.celis@congreso.cl,@andrescelism,,andrescelism,,,Twitter/Prensa,salud matinales
Hotuiti Teao Drago,1138,Ind-Evó,7,hotuiti.teao@congreso.cl,,hotuiti.teao,hotuiti.teao,,,Instagram/Facebook,Rapa Nui deporte
Luis Sánchez Ossa,1139,Rep,7,luis.sanchez@congreso.cl,@lsanchezossa,,,YouTube,,Twitter/YouTube,Jefe Bancada Rep
Carmen Hertz Cádiz,1140,PC,8,carmen.hertz@congreso.cl,@carmen_hertz,,,,,Twitter,memoria DDHH
Claudia Mix Jiménez,1141,FA,8,claudia.mix@congreso.cl,,claudiamixj,claudiamix,,,Instagram/Facebook,vivienda
Joaquín Lavín León,1142,Ind-UDI,8,joaquin.lavin@congreso.cl,,,joaquinlavin.d,,,Facebook bajo,Maipú
Cristián Labbé Martínez,1143,UDI,8,cristian.labbe@congreso.cl,,cristianlabbem,,,,Instagram/Twitter,seguridad familia
Agustín Romero Leiva,1144,Rep,8,agustin.romero@congreso.cl,@agustinromerol,,,YouTube,,Twitter/YouTube,economía tributaria
Viviana Delgado,1145,PL,8,viviana.delgado@congreso.cl,,,vivianamelgado.d,,,Facebook/Instagram,ecología escolar
Alberto Undurraga,1146,PDC,8,alberto.undurraga@congreso.cl,@albertoundurraga,,,,,Twitter/LinkedIn,Presidente DC
Rubén Oyarzo Figueroa,1147,Ind-PR,8,ruben.oyarzo@congreso.cl,,rubenoyarzof,,,TikTok,TikTok/Instagram,clase media autopistas
